602754, 1066222-003N, 1, Clearlink, 07/05/2026, 17:20:19,   8.0161, psig,   6.7706, psig,   0.0000, psig, Fail, Gross, NO RESULT 
602774, 1066222-003N, 1, Clearlink, 07/05/2026, 21:32:53,   7.9930, psig,   7.9828, psig,   0.0101, psig, Pass,  , Pass
602775, 1066222-003N, 1, Clearlink, 07/05/2026, 21:33:34,   7.9928, psig,   7.9831, psig,   0.0059, psig, Pass,  , Pass
602776, 1066222-003N, 1, Clearlink, 07/05/2026, 21:34:10,   7.9942, psig,   7.9846, psig,   0.0055, psig, Pass,  , Pass
602777, 1066222-003N, 1, Clearlink, 07/05/2026, 21:34:29,   7.9666, psig,   6.8357, psig,   0.0000, psig, Fail, Gross, NO RESULT 
602778, 1066222-003N, 1, Clearlink, 07/05/2026, 21:34:53,   7.9925, psig,   6.9539, psig,   0.0000, psig, Fail, Gross, NO RESULT 
602779, 1066222-003N, 1, Clearlink, 07/05/2026, 21:35:28,   7.9996, psig,   7.9878, psig,   0.0063, psig, Pass,  , Pass
602780, 1066222-003N, 1, Clearlink, 07/05/2026, 21:35:48,   7.9865, psig,   7.9759, psig,   0.0057, psig, Pass,  , Pass
602781, 1066222-003N, 1, Clearlink, 07/05/2026, 21:36:01,   7.9831, psig,   7.8827, psig,   0.1012, psig, Pass,  , Pass
602782, 1066222-003N, 1, Clearlink, 07/05/2026, 21:36:22,   7.9759, psig,   7.4844, psig,   0.4802, psig, Pass,  , Pass
602783, 1066222-003N, 1, Clearlink, 07/05/2026, 21:53:01,   6.4823, psig,         , psig,         , psig, Abort, Fill Low, NO RESULT 
602784, 1066222-003N, 1, Clearlink, 07/05/2026, 21:53:50,   7.9816, psig,   7.9624, psig,   0.0186, psig, Pass,  , Pass
602785, 1066222-003N, 1, Clearlink, 07/05/2026, 21:54:02,   7.9811, psig,   7.9657, psig,   0.0061, psig, Pass,  , Pass
602786, 1066222-003N, 1, Clearlink, 07/05/2026, 21:54:15,   7.9809, psig,   7.9701, psig,   0.0060, psig, Pass,  , Pass
602787, 1066222-003N, 1, Clearlink, 07/05/2026, 21:55:03,   7.9814, psig,   7.9704, psig,   0.0060, psig, Pass,  , Pass
602788, 1066222-003N, 1, Clearlink, 07/05/2026, 21:55:36,   7.9816, psig,   7.9663, psig,   0.0061, psig, Pass,  , Pass
602789, 1066222-003N, 1, Clearlink, 07/05/2026, 21:56:00,   7.9823, psig,   7.9716, psig,   0.0060, psig, Pass,  , Pass
602790, 1066222-003N, 1, Clearlink, 07/05/2026, 21:57:28,   7.9833, psig,   7.9726, psig,   0.0060, psig, Pass,  , Pass
602791, 1066222-003N, 1, Clearlink, 07/05/2026, 21:58:30,   7.9829, psig,   7.9431, psig,   0.0361, psig, Pass,  , Pass
602792, 1066222-003N, 1, Clearlink, 07/05/2026, 21:58:59,   7.9834, psig,   7.9733, psig,   0.0062, psig, Pass,  , Pass
602793, 1066222-003N, 1, Clearlink, 07/05/2026, 21:59:41,   7.9840, psig,   7.9736, psig,   0.0059, psig, Pass,  , Pass
602794, 1066222-003N, 1, Clearlink, 07/05/2026, 22:00:08,   7.9839, psig,   7.9735, psig,   0.0061, psig, Pass,  , Pass
602795, 1066222-003N, 1, Clearlink, 07/05/2026, 22:00:51,   7.9851, psig,   7.9745, psig,   0.0061, psig, Pass,  , Pass
602796, 1066222-003N, 1, Clearlink, 07/05/2026, 22:01:05,   7.9855, psig,   7.9745, psig,   0.0060, psig, Pass,  , Pass
602797, 1066222-003N, 1, Clearlink, 07/05/2026, 22:01:32,   7.9853, psig,   7.9759, psig,   0.0061, psig, Pass,  , Pass
602798, 1066222-003N, 1, Clearlink, 07/05/2026, 22:01:56,   7.9867, psig,   7.9761, psig,   0.0060, psig, Pass,  , Pass
602799, 1066222-003N, 1, Clearlink, 07/05/2026, 22:02:44,   7.9874, psig,   7.9767, psig,   0.0064, psig, Pass,  , Pass
602800, 1066222-003N, 1, Clearlink, 07/05/2026, 22:03:38,   7.9877, psig,   7.9766, psig,   0.0062, psig, Pass,  , Pass
602801, 1066222-003N, 1, Clearlink, 07/05/2026, 22:04:07,   7.9878, psig,   7.9772, psig,   0.0063, psig, Pass,  , Pass
602802, 1066222-003N, 1, Clearlink, 07/05/2026, 22:04:27,   7.9875, psig,   7.9774, psig,   0.0061, psig, Pass,  , Pass
602803, 1066222-003N, 1, Clearlink, 07/05/2026, 22:04:51,   7.9882, psig,   7.9736, psig,   0.0126, psig, Pass,  , Pass
602804, 1066222-003N, 1, Clearlink, 07/05/2026, 22:05:38,   7.9890, psig,   7.9780, psig,   0.0060, psig, Pass,  , Pass
602805, 1066222-003N, 1, Clearlink, 07/05/2026, 22:06:29,   7.9895, psig,   7.9783, psig,   0.0061, psig, Pass,  , Pass
602806, 1066222-003N, 1, Clearlink, 07/05/2026, 22:07:09,   7.9895, psig,   7.9725, psig,   0.0075, psig, Pass,  , Pass
602807, 1066222-003N, 1, Clearlink, 07/05/2026, 22:07:46,   7.9898, psig,   7.9785, psig,   0.0061, psig, Pass,  , Pass
602808, 1066222-003N, 1, Clearlink, 07/05/2026, 22:08:26,   7.9899, psig,   7.9791, psig,   0.0117, psig, Pass,  , Pass
602809, 1066222-003N, 1, Clearlink, 07/05/2026, 22:08:52,   7.9904, psig,   7.9801, psig,   0.0064, psig, Pass,  , Pass
602810, 1066222-003N, 1, Clearlink, 07/05/2026, 22:09:22,   7.9901, psig,   7.9791, psig,   0.0063, psig, Pass,  , Pass
602811, 1066222-003N, 1, Clearlink, 07/05/2026, 22:09:50,   7.9907, psig,   7.9795, psig,   0.0060, psig, Pass,  , Pass
602812, 1066222-003N, 1, Clearlink, 07/05/2026, 22:10:25,   7.9910, psig,   7.9806, psig,   0.0061, psig, Pass,  , Pass
602813, 1066222-003N, 1, Clearlink, 07/05/2026, 22:11:44,   7.9916, psig,   7.9750, psig,   0.0063, psig, Pass,  , Pass
602814, 1066222-003N, 1, Clearlink, 07/05/2026, 22:12:04,   7.9907, psig,   7.9794, psig,   0.0065, psig, Pass,  , Pass
602815, 1066222-003N, 1, Clearlink, 07/05/2026, 22:12:30,   7.9912, psig,   7.9702, psig,   0.0066, psig, Pass,  , Pass
602816, 1066222-003N, 1, Clearlink, 07/05/2026, 22:12:49,   7.9913, psig,   7.9810, psig,   0.0060, psig, Pass,  , Pass
602817, 1066222-003N, 1, Clearlink, 07/05/2026, 22:13:02,   7.9915, psig,   7.9813, psig,   0.0061, psig, Pass,  , Pass
602818, 1066222-003N, 1, Clearlink, 07/05/2026, 22:13:39,   7.9911, psig,   7.9275, psig,   0.0661, psig, Pass,  , Pass
602819, 1066222-003N, 1, Clearlink, 07/05/2026, 22:14:15,   7.9913, psig,   7.9748, psig,   0.0065, psig, Pass,  , Pass
602820, 1066222-003N, 1, Clearlink, 07/05/2026, 22:14:44,   7.9923, psig,   7.9754, psig,   0.0065, psig, Pass,  , Pass
602821, 1066222-003N, 1, Clearlink, 07/05/2026, 22:15:14,   7.9928, psig,   7.9823, psig,   0.0061, psig, Pass,  , Pass
602822, 1066222-003N, 1, Clearlink, 07/05/2026, 22:15:33,   7.9925, psig,   7.9814, psig,   0.0060, psig, Pass,  , Pass
602823, 1066222-003N, 1, Clearlink, 07/05/2026, 22:16:08,   7.9930, psig,   7.9762, psig,   0.0061, psig, Pass,  , Pass
602824, 1066222-003N, 1, Clearlink, 07/05/2026, 22:17:01,   7.9931, psig,   7.9829, psig,   0.0117, psig, Pass,  , Pass
602825, 1066222-003N, 1, Clearlink, 07/05/2026, 22:17:26,   7.9927, psig,   7.9770, psig,   0.0069, psig, Pass,  , Pass
602826, 1066222-003N, 1, Clearlink, 07/05/2026, 22:18:20,   7.9924, psig,   7.9817, psig,   0.0065, psig, Pass,  , Pass
602827, 1066222-003N, 1, Clearlink, 07/05/2026, 22:18:42,   7.9931, psig,   7.9823, psig,   0.0062, psig, Pass,  , Pass
602828, 1066222-003N, 1, Clearlink, 07/05/2026, 22:19:20,   7.9933, psig,   7.9776, psig,   0.0064, psig, Pass,  , Pass
602829, 1066222-003N, 1, Clearlink, 07/05/2026, 22:20:11,   7.9934, psig,   7.9821, psig,   0.0063, psig, Pass,  , Pass
602830, 1066222-003N, 1, Clearlink, 07/05/2026, 22:20:30,   7.9935, psig,   7.9830, psig,   0.0062, psig, Pass,  , Pass
602831, 1066222-003N, 1, Clearlink, 07/05/2026, 22:21:22,   7.9940, psig,   7.9827, psig,   0.0062, psig, Pass,  , Pass
602832, 1066222-003N, 1, Clearlink, 07/05/2026, 22:21:55,   7.9938, psig,   7.9831, psig,   0.0062, psig, Pass,  , Pass
602833, 1066222-003N, 1, Clearlink, 07/05/2026, 22:22:29,   7.9949, psig,   7.9835, psig,   0.0062, psig, Pass,  , Pass
602834, 1066222-003N, 1, Clearlink, 07/05/2026, 22:22:58,   7.9942, psig,   7.9792, psig,   0.0062, psig, Pass,  , Pass
602835, 1066222-003N, 1, Clearlink, 07/05/2026, 22:23:21,   7.9944, psig,   7.9782, psig,   0.0064, psig, Pass,  , Pass
602836, 1066222-003N, 1, Clearlink, 07/05/2026, 22:24:02,   7.9947, psig,   7.9838, psig,   0.0064, psig, Pass,  , Pass
602837, 1066222-003N, 1, Clearlink, 07/05/2026, 22:24:27,   7.9946, psig,   7.9845, psig,   0.0062, psig, Pass,  , Pass
602838, 1066222-003N, 1, Clearlink, 07/05/2026, 22:24:40,   7.9946, psig,   7.9833, psig,   0.0062, psig, Pass,  , Pass
602839, 1066222-003N, 1, Clearlink, 07/05/2026, 22:25:09,   7.9950, psig,   7.9839, psig,   0.0062, psig, Pass,  , Pass
602840, 1066222-003N, 1, Clearlink, 07/05/2026, 22:25:38,   7.9955, psig,   7.9848, psig,   0.0063, psig, Pass,  , Pass
602841, 1066222-003N, 1, Clearlink, 07/05/2026, 22:25:55,   7.9955, psig,   7.9796, psig,   0.0116, psig, Pass,  , Pass
602842, 1066222-003N, 1, Clearlink, 07/05/2026, 22:26:49,   7.9959, psig,   7.9847, psig,   0.0064, psig, Pass,  , Pass
602843, 1066222-003N, 1, Clearlink, 07/05/2026, 22:27:14,   7.9953, psig,   7.9795, psig,   0.0066, psig, Pass,  , Pass
602844, 1066222-003N, 1, Clearlink, 07/05/2026, 22:27:50,   7.9956, psig,   7.9847, psig,   0.0062, psig, Pass,  , Pass
602845, 1066222-003N, 1, Clearlink, 07/05/2026, 22:28:25,   7.9955, psig,   7.9852, psig,   0.0062, psig, Pass,  , Pass
602846, 1066222-003N, 1, Clearlink, 07/05/2026, 22:29:11,   7.9957, psig,   7.9743, psig,   0.0067, psig, Pass,  , Pass
602847, 1066222-003N, 1, Clearlink, 07/05/2026, 22:29:45,   7.9950, psig,   7.9837, psig,   0.0066, psig, Pass,  , Pass
602848, 1066222-003N, 1, Clearlink, 07/05/2026, 22:30:05,   7.9955, psig,   7.9840, psig,   0.0064, psig, Pass,  , Pass
602849, 1066222-003N, 1, Clearlink, 07/05/2026, 22:30:30,   7.9958, psig,   7.9854, psig,   0.0061, psig, Pass,  , Pass
602850, 1066222-003N, 1, Clearlink, 07/05/2026, 22:30:46,   7.9944, psig,   7.8955, psig,   0.0973, psig, Pass,  , Pass
602851, 1066222-003N, 1, Clearlink, 07/05/2026, 22:31:28,   7.9961, psig,   7.9827, psig,   0.0092, psig, Pass,  , Pass
602852, 1066222-003N, 1, Clearlink, 07/05/2026, 22:31:58,   7.9964, psig,   7.9859, psig,   0.0062, psig, Pass,  , Pass
602853, 1066222-003N, 1, Clearlink, 07/05/2026, 22:32:21,   7.9963, psig,   7.9851, psig,   0.0062, psig, Pass,  , Pass
602854, 1066222-003N, 1, Clearlink, 07/05/2026, 22:32:50,   7.9965, psig,   7.9852, psig,   0.0066, psig, Pass,  , Pass
602855, 1066222-003N, 1, Clearlink, 07/05/2026, 22:33:07,   7.9954, psig,   7.9857, psig,   0.0116, psig, Pass,  , Pass
602856, 1066222-003N, 1, Clearlink, 07/05/2026, 22:33:38,   7.9967, psig,   7.9858, psig,   0.0060, psig, Pass,  , Pass
602857, 1066222-003N, 1, Clearlink, 07/05/2026, 22:34:08,   7.9970, psig,   7.9861, psig,   0.0063, psig, Pass,  , Pass
602858, 1066222-003N, 1, Clearlink, 07/05/2026, 22:34:42,   7.9973, psig,   7.9815, psig,   0.0065, psig, Pass,  , Pass
602859, 1066222-003N, 1, Clearlink, 07/05/2026, 22:35:24,   7.9971, psig,   7.9867, psig,   0.0061, psig, Pass,  , Pass
602860, 1066222-003N, 1, Clearlink, 07/05/2026, 22:35:44,   7.9970, psig,   7.9860, psig,   0.0062, psig, Pass,  , Pass
602861, 1066222-003N, 1, Clearlink, 07/05/2026, 22:36:13,   7.9973, psig,   7.9817, psig,   0.0109, psig, Pass,  , Pass
602862, 1066222-003N, 1, Clearlink, 07/05/2026, 22:36:59,   7.9971, psig,   7.9818, psig,   0.0069, psig, Pass,  , Pass
602863, 1066222-003N, 1, Clearlink, 07/05/2026, 22:37:28,   7.9973, psig,   7.9867, psig,   0.0113, psig, Pass,  , Pass
602864, 1066222-003N, 1, Clearlink, 07/05/2026, 22:37:53,   7.9972, psig,   7.9856, psig,   0.0064, psig, Pass,  , Pass
602865, 1066222-003N, 1, Clearlink, 07/05/2026, 22:38:13,   7.9966, psig,   7.9780, psig,   0.0099, psig, Pass,  , Pass
602866, 1066222-003N, 1, Clearlink, 07/05/2026, 22:38:33,   7.9976, psig,   7.9805, psig,   0.0064, psig, Pass,  , Pass
602867, 1066222-003N, 1, Clearlink, 07/05/2026, 22:38:53,   7.9974, psig,   7.9869, psig,   0.0064, psig, Pass,  , Pass
602868, 1066222-003N, 1, Clearlink, 07/05/2026, 22:39:37,   7.9978, psig,   7.9815, psig,   0.0065, psig, Pass,  , Pass
602869, 1066222-003N, 1, Clearlink, 07/05/2026, 22:40:18,   7.9976, psig,   7.9864, psig,   0.0064, psig, Pass,  , Pass
602870, 1066222-003N, 1, Clearlink, 07/05/2026, 22:41:31,   7.9981, psig,   7.9820, psig,   0.0064, psig, Pass,  , Pass
602871, 1066222-003N, 1, Clearlink, 07/05/2026, 22:42:18,   7.9977, psig,   7.9867, psig,   0.0062, psig, Pass,  , Pass
602872, 1066222-003N, 1, Clearlink, 07/05/2026, 22:42:56,   7.9974, psig,   7.9805, psig,   0.0064, psig, Pass,  , Pass
602873, 1066222-003N, 1, Clearlink, 07/05/2026, 22:43:30,   7.9977, psig,   7.9865, psig,   0.0064, psig, Pass,  , Pass
602874, 1066222-003N, 1, Clearlink, 07/05/2026, 22:44:50,   7.9978, psig,   7.9866, psig,   0.0063, psig, Pass,  , Pass
602875, 1066222-003N, 1, Clearlink, 07/05/2026, 22:45:35,   7.9972, psig,   7.9867, psig,   0.0064, psig, Pass,  , Pass
602876, 1066222-003N, 1, Clearlink, 07/05/2026, 22:45:55,   7.9972, psig,   7.9809, psig,   0.0062, psig, Pass,  , Pass
602877, 1066222-003N, 1, Clearlink, 07/05/2026, 22:46:18,   7.9963, psig,   7.9856, psig,   0.0117, psig, Pass,  , Pass
602878, 1066222-003N, 1, Clearlink, 07/05/2026, 22:47:08,   7.9972, psig,   7.9863, psig,   0.0063, psig, Pass,  , Pass
602879, 1066222-003N, 1, Clearlink, 07/05/2026, 22:47:39,   7.9972, psig,   7.9866, psig,   0.0064, psig, Pass,  , Pass
602880, 1066222-003N, 1, Clearlink, 07/05/2026, 22:48:06,   7.9974, psig,   7.9861, psig,   0.0065, psig, Pass,  , Pass
602881, 1066222-003N, 1, Clearlink, 07/05/2026, 22:48:54,   7.9882, psig,   7.4009, psig,   0.5683, psig, Pass,  , Pass
602882, 1066222-003N, 1, Clearlink, 07/05/2026, 22:49:18,   7.9978, psig,   7.9863, psig,   0.0065, psig, Pass,  , Pass
602883, 1066222-003N, 1, Clearlink, 07/05/2026, 22:50:03,   7.9976, psig,   7.9864, psig,   0.0122, psig, Pass,  , Pass
602884, 1066222-003N, 1, Clearlink, 07/05/2026, 22:50:30,   7.9974, psig,   7.9865, psig,   0.0064, psig, Pass,  , Pass
602885, 1066222-003N, 1, Clearlink, 07/05/2026, 22:50:53,   7.9975, psig,   7.9755, psig,   0.0067, psig, Pass,  , Pass
602886, 1066222-003N, 1, Clearlink, 07/05/2026, 22:51:17,   7.9978, psig,   7.9864, psig,   0.0063, psig, Pass,  , Pass
602887, 1066222-003N, 1, Clearlink, 07/05/2026, 22:51:48,   7.9971, psig,   7.9863, psig,   0.0066, psig, Pass,  , Pass
602888, 1066222-003N, 1, Clearlink, 07/05/2026, 22:52:01,   7.9976, psig,   7.9849, psig,   0.0064, psig, Pass,  , Pass
602889, 1066222-003N, 1, Clearlink, 07/05/2026, 22:52:23,   7.9981, psig,   7.9865, psig,   0.0088, psig, Pass,  , Pass
602890, 1066222-003N, 1, Clearlink, 07/05/2026, 22:53:06,   7.9960, psig,   7.8414, psig,   0.1557, psig, Pass,  , Pass
602891, 1066222-003N, 1, Clearlink, 07/05/2026, 22:53:19,   7.9979, psig,   7.9865, psig,   0.0062, psig, Pass,  , Pass
602892, 1066222-003N, 1, Clearlink, 07/05/2026, 22:53:43,   7.9981, psig,   7.9869, psig,   0.0064, psig, Pass,  , Pass
602893, 1066222-003N, 1, Clearlink, 07/05/2026, 22:54:07,   7.9977, psig,   7.9867, psig,   0.0062, psig, Pass,  , Pass
602894, 1066222-003N, 1, Clearlink, 07/05/2026, 22:54:33,   7.9987, psig,   7.9878, psig,   0.0064, psig, Pass,  , Pass
602895, 1066222-003N, 1, Clearlink, 07/05/2026, 22:55:28,   7.9989, psig,   7.9824, psig,   0.0065, psig, Pass,  , Pass
602896, 1066222-003N, 1, Clearlink, 07/05/2026, 22:55:42,   7.9983, psig,   7.9875, psig,   0.0062, psig, Pass,  , Pass
602897, 1066222-003N, 1, Clearlink, 07/05/2026, 22:56:28,   7.9988, psig,   7.9827, psig,   0.0065, psig, Pass,  , Pass
602898, 1066222-003N, 1, Clearlink, 07/05/2026, 22:56:44,   7.9983, psig,   7.9870, psig,   0.0060, psig, Pass,  , Pass
602899, 1066222-003N, 1, Clearlink, 07/05/2026, 22:57:06,   7.9986, psig,   7.9876, psig,   0.0115, psig, Pass,  , Pass
602900, 1066222-003N, 1, Clearlink, 07/05/2026, 22:57:50,   7.9987, psig,   7.9872, psig,   0.0064, psig, Pass,  , Pass
602901, 1066222-003N, 1, Clearlink, 07/05/2026, 22:58:11,   7.9987, psig,   7.9876, psig,   0.0066, psig, Pass,  , Pass
602902, 1066222-003N, 1, Clearlink, 07/05/2026, 22:58:34,   7.9988, psig,   7.9838, psig,   0.0064, psig, Pass,  , Pass
602903, 1066222-003N, 1, Clearlink, 07/05/2026, 22:59:06,   7.9990, psig,   7.9874, psig,   0.0066, psig, Pass,  , Pass
602904, 1066222-003N, 1, Clearlink, 07/05/2026, 22:59:39,   7.9989, psig,   7.9878, psig,   0.0065, psig, Pass,  , Pass
602905, 1066222-003N, 1, Clearlink, 07/05/2026, 22:59:59,   7.9989, psig,   7.9818, psig,   0.0064, psig, Pass,  , Pass
602906, 1066222-003N, 1, Clearlink, 07/05/2026, 23:00:26,   7.9987, psig,   7.9879, psig,   0.0065, psig, Pass,  , Pass
602907, 1066222-003N, 1, Clearlink, 07/05/2026, 23:00:55,   7.9990, psig,   7.9882, psig,   0.0063, psig, Pass,  , Pass
602908, 1066222-003N, 1, Clearlink, 07/05/2026, 23:01:19,   7.9981, psig,   7.9873, psig,   0.0065, psig, Pass,  , Pass
602909, 1066222-003N, 1, Clearlink, 07/05/2026, 23:01:48,   7.9987, psig,   7.9860, psig,   0.0064, psig, Pass,  , Pass
602910, 1066222-003N, 1, Clearlink, 07/05/2026, 23:02:11,   7.9988, psig,   7.9872, psig,   0.0120, psig, Pass,  , Pass
602911, 1066222-003N, 1, Clearlink, 07/05/2026, 23:02:44,   7.9987, psig,   7.9876, psig,   0.0123, psig, Pass,  , Pass
602912, 1066222-003N, 1, Clearlink, 07/05/2026, 23:03:01,   7.9981, psig,   7.9865, psig,   0.0064, psig, Pass,  , Pass
602913, 1066222-003N, 1, Clearlink, 07/05/2026, 23:03:28,   7.9985, psig,   7.9823, psig,   0.0065, psig, Pass,  , Pass
602914, 1066222-003N, 1, Clearlink, 07/05/2026, 23:03:48,   7.9985, psig,   7.9878, psig,   0.0111, psig, Pass,  , Pass
602915, 1066222-003N, 1, Clearlink, 07/05/2026, 23:04:19,   7.9985, psig,   7.9812, psig,   0.0063, psig, Pass,  , Pass
602916, 1066222-003N, 1, Clearlink, 07/05/2026, 23:04:56,   7.9986, psig,   7.9870, psig,   0.0064, psig, Pass,  , Pass
602917, 1066222-003N, 1, Clearlink, 07/05/2026, 23:05:41,   7.9984, psig,   7.9814, psig,   0.0065, psig, Pass,  , Pass
602918, 1066222-003N, 1, Clearlink, 07/05/2026, 23:05:57,   7.9981, psig,   7.9805, psig,   0.0065, psig, Pass,  , Pass
602919, 1066222-003N, 1, Clearlink, 07/05/2026, 23:06:20,   7.9980, psig,   7.9813, psig,   0.0064, psig, Pass,  , Pass
602920, 1066222-003N, 1, Clearlink, 07/05/2026, 23:06:37,   7.9927, psig,   7.6565, psig,   0.3377, psig, Pass,  , Pass
602921, 1066222-003N, 1, Clearlink, 07/05/2026, 23:06:55,   7.9980, psig,   7.9865, psig,   0.0065, psig, Pass,  , Pass
602922, 1066222-003N, 1, Clearlink, 07/05/2026, 23:07:22,   7.9984, psig,   7.9872, psig,   0.0065, psig, Pass,  , Pass
602923, 1066222-003N, 1, Clearlink, 07/05/2026, 23:07:50,   7.9980, psig,   7.9869, psig,   0.0064, psig, Pass,  , Pass
602924, 1066222-003N, 1, Clearlink, 07/05/2026, 23:08:23,   7.9983, psig,   7.9759, psig,   0.0068, psig, Pass,  , Pass
602925, 1066222-003N, 1, Clearlink, 07/05/2026, 23:31:49,   7.9995, psig,   7.9876, psig,   0.0066, psig, Pass,  , Pass
602926, 1066222-003N, 1, Clearlink, 07/05/2026, 23:32:10,   7.9987, psig,   7.9879, psig,   0.0062, psig, Pass,  , Pass
602927, 1066222-003N, 1, Clearlink, 07/05/2026, 23:32:40,   7.9976, psig,   7.9862, psig,   0.0061, psig, Pass,  , Pass
602928, 1066222-003N, 1, Clearlink, 07/05/2026, 23:33:16,   7.9956, psig,   7.9846, psig,   0.0062, psig, Pass,  , Pass
602929, 1066222-003N, 1, Clearlink, 07/05/2026, 23:33:41,   7.9967, psig,   7.9854, psig,   0.0153, psig, Pass,  , Pass
602930, 1066222-003N, 1, Clearlink, 07/05/2026, 23:34:12,   7.9956, psig,   7.9846, psig,   0.0063, psig, Pass,  , Pass
602931, 1066222-003N, 1, Clearlink, 07/05/2026, 23:34:49,   7.9938, psig,   7.9828, psig,   0.0061, psig, Pass,  , Pass
602932, 1066222-003N, 1, Clearlink, 07/05/2026, 23:35:43,   7.9923, psig,   7.9756, psig,   0.0090, psig, Pass,  , Pass
602933, 1066222-003N, 1, Clearlink, 07/05/2026, 23:36:10,   7.9916, psig,   7.9756, psig,   0.0064, psig, Pass,  , Pass
602934, 1066222-003N, 1, Clearlink, 07/05/2026, 23:36:32,   7.9918, psig,   7.9766, psig,   0.0062, psig, Pass,  , Pass
602935, 1066222-003N, 1, Clearlink, 07/05/2026, 23:37:13,   7.9891, psig,   7.7961, psig,   0.1973, psig, Pass,  , Pass
602936, 1066222-003N, 1, Clearlink, 07/05/2026, 23:37:46,   7.9913, psig,   7.9755, psig,   0.0061, psig, Pass,  , Pass
602937, 1066222-003N, 1, Clearlink, 07/05/2026, 23:38:10,   7.9907, psig,   7.9807, psig,   0.0063, psig, Pass,  , Pass
602938, 1066222-003N, 1, Clearlink, 07/05/2026, 23:38:49,   7.9917, psig,   7.9755, psig,   0.0064, psig, Pass,  , Pass
602939, 1066222-003N, 1, Clearlink, 07/05/2026, 23:39:23,   7.9913, psig,   7.9803, psig,   0.0059, psig, Pass,  , Pass
602940, 1066222-003N, 1, Clearlink, 07/05/2026, 23:40:09,   7.9905, psig,   7.9790, psig,   0.0065, psig, Pass,  , Pass
602941, 1066222-003N, 1, Clearlink, 07/05/2026, 23:40:41,   7.9916, psig,   7.9809, psig,   0.0064, psig, Pass,  , Pass
602942, 1066222-003N, 1, Clearlink, 07/05/2026, 23:41:03,   7.9915, psig,   7.9742, psig,   0.0062, psig, Pass,  , Pass
602943, 1066222-003N, 1, Clearlink, 07/05/2026, 23:41:28,   7.9922, psig,   7.9814, psig,   0.0061, psig, Pass,  , Pass
602944, 1066222-003N, 1, Clearlink, 07/05/2026, 23:42:05,   7.9919, psig,   7.9812, psig,   0.0063, psig, Pass,  , Pass
602945, 1066222-003N, 1, Clearlink, 07/05/2026, 23:42:28,   7.9922, psig,   7.9815, psig,   0.0060, psig, Pass,  , Pass
602946, 1066222-003N, 1, Clearlink, 07/05/2026, 23:42:57,   7.9922, psig,   7.9804, psig,   0.0068, psig, Pass,  , Pass
